Year,Title,Venue,Type
2025,CuPric: Customer Segment-Based Pricing in Mobile Sensors-As-a-Service,IEEE Transactions on Services Computing,Journal
2025,OCUS: A Game-Theoretic Approach to Optimal UAV Coalitions in UAV-as-a-Service Platforms,Ad Hoc Networks (Elsevier),Journal
2025,MitiCon: Mitigating Model Contamination in Distributed Machine Learning for UAV-as-a-Service,IEEE Transactions on Vehicular Technology,Journal
2025,TOFU: Trust-Based Task Offloading in UAV-As-a-Service,IEEE Transactions on Vehicular Technology,Journal
2025,Building Sustainable Federated Learning Models in Fog-enabled UAV-as-a-Service for Aerial Image Classification,Sustainable Computing: Informatics and Systems (Elsevier),Journal
2025,Con-Fog: Consensus-driven Fog Node Selection in FU-Serve Platform for IoT Applications,IEEE Internet of Things Journal,Journal
2024,Serv-HU: Service Hand-off for UAV-as-a-Service,IEEE Transactions on Services Computing,Journal
2023,PCAM: Optimal Pricing Scheme for Rendering Camera-Network-as-a-Service,IEEE Transactions on Network Science and Engineering,Journal
2023,i-AVR: IoT-based Ambulatory Vitals Monitoring and Recommender System,IEEE Internet of Things Journal,Journal
2022,I2M: Intelligent Information Management for Rendering IoE Services in Society 5.0,IEEE Transactions on Network Science and Engineering,Journal
2022,B2H: Enabling Delay-Tolerant Blockchain Network in Healthcare for Society 5.0,Computer Networks,Journal
2022,Softwarized Management of 6G Network for Green Internet of Things,Computer Communications,Journal
2021,Edge Intelligence for Rendering Green Camera-Network-as-a-Service,IEEE Transactions on Green Communications and Networking,Journal
2021,AI-based Communication-as-a-Service for Network Management in Society 5.0,IEEE Transactions on Network and Service Management,Journal
2021,CASE: A Context-Aware Security Scheme for Preserving Data Privacy in IoT-enabled Society 5.0,IEEE Internet of Things Journal,Journal
2021,Mobile Sensor-Cloud for Rendering Sensors-as-a-Service,IEEE Systems Journal,Journal
2020,DEFT: Decentralized Multiuser Computation Offloading in a Fog-enabled IoV Environment,IEEE Transactions on Vehicular Technology,Journal
2020,Blockchain at the Edge: Performance of Resource-Constrained IoT Networks,IEEE Transactions on Parallel and Distributed Systems,Journal
2020,Range-Price Trade-off in Sensor-Cloud for Provisioning Sensors-as-a-Service,IEEE Transactions on Cloud Computing,Journal
2020,PRIME: An Optimal Pricing Scheme for Mobile Sensors-as-a-Service,IEEE Transactions on Mobile Computing,Journal
2020,Drops: Dynamic Radio Protocol Selection for Energy-Constrained Wearable IoT Healthcare,IEEE Journal on Selected Areas in Communications,Journal
2020,UAV Virtualization for Enabling Heterogeneous and Persistent UAV-as-a-Service,IEEE Transactions on Vehicular Technology,Journal
2019,ORCID: Opportunistic Reconnectivity for Network Management in the Presence of Dumb Nodes in Wireless Sensor Networks,IEEE Systems Journal,Journal
2019,Dynamic Pricing for Sensor-Cloud Platform in the Presence of Dumb Nodes,IEEE Transactions on Cloud Computing,Journal
2019,"MEGAN: Multipurpose Energy-Efficient, Adaptable, and Low-Cost Wireless Sensor Node for the Internet of Things",IEEE Systems Journal,Journal
2019,Big-Sensor-Cloud Infrastructure: A Holistic Prototype for Provisioning Sensors-as-a-Service,IEEE Transactions on Cloud Computing,Journal
2018,Dynamic Trust Enforcing Pricing Scheme for Sensors-as-a-Service in Sensor-Cloud Infrastructure,IEEE Transactions on Services Computing,Journal
2018,Knowledge Discovery for Enabling Smart Internet of Things: A Survey,Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,Journal
2018,Safe-aaS: Decision Virtualization for Effecting Safety-as-a-Service,IEEE Internet of Things Journal,Journal
2017,Topology Control for Self-Adaptation in Wireless Sensor Networks with Temporary Connection Impairment,ACM Transactions on Autonomous and Adaptive Systems,Journal
2017,D3: Distributed Approach for the Detection of Dumb Nodes in Wireless Sensor Networks,International Journal of Communication Systems,Journal
2016,On the Effects of Communication Range Shrinkage of Sensor Nodes in Mobile Wireless Sensor Networks Due to Adverse Environmental Conditions,IEEE Systems Journal,Journal
2016,Connectivity Reestablishment in Self-Organizing Sensor Networks with Dumb Nodes,ACM Transactions on Autonomous and Adaptive Systems,Journal
2014,Existence of Dumb Nodes in Stationary Wireless Sensor Networks,Journal of Systems and Software,Journal
2026,DESTIN: Dynamic Device Selection for Mobile Sensors-as-a-Service Platforms,IEEE WCNC,Conference
2026,LISKI: A Lightweight Secret Key Generation Scheme for Resource-Constrained IoT Devices,IEEE WCNC,Conference
2025,VisionStack: Multi-Layered Object Detection and Classification Framework,IEEE ANTS,Conference
